Name,SITES API
Type,Managed placement (domain)
Frequency,Daily
Date range,Last 14 days
Dates,"Aug 30, 2012-Sep 12, 2012"
Account,Day,Network,Placement,Campaign,Client name,Impressions,Clicks,Cost
City Ventures,2012-08-30,Display Network,youtube.com,CTVN01_150k,City Ventures,237,0,0.21
City Ventures,2012-08-31,Display Network,youtube.com,CTVN01_150k,City Ventures,487,0,0.47
City Ventures,2012-09-01,Display Network,youtube.com,CTVN01_150k,City Ventures,507,0,0.48
City Ventures,2012-09-02,Display Network,youtube.com,CTVN01_150k,City Ventures,481,0,0.46
City Ventures,2012-09-03,Display Network,youtube.com,CTVN01_150k,City Ventures,411,1,0.38
City Ventures,2012-09-04,Display Network,youtube.com,CTVN01_150k,City Ventures,127,2,0.12
City Ventures,2012-09-05,Display Network,youtube.com,CTVN01_150k,City Ventures,371,1,0.35
City Ventures,2012-09-06,Display Network,youtube.com,CTVN01_150k,City Ventures,211,0,0.20
City Ventures,2012-09-07,Display Network,youtube.com,CTVN01_150k,City Ventures,221,0,0.20
City Ventures,2012-09-08,Display Network,youtube.com,CTVN01_150k,City Ventures,157,0,0.14
City Ventures,2012-09-09,Display Network,youtube.com,CTVN01_150k,City Ventures,174,0,0.16
City Ventures,2012-09-10,Display Network,youtube.com,CTVN01_150k,City Ventures,85,1,0.08
City Ventures,2012-09-11,Display Network,youtube.com,CTVN01_150k,City Ventures,76,0,0.07
City Ventures,2012-09-12,Display Network,youtube.com,CTVN01_150k,City Ventures,71,0,0.07
City Ventures,2012-08-30,Display Network,nytimes.com,CTVN01_150k,City Ventures,87,0,0.14
City Ventures,2012-08-31,Display Network,nytimes.com,CTVN01_150k,City Ventures,91,1,0.13
City Ventures,2012-09-01,Display Network,nytimes.com,CTVN01_150k,City Ventures,160,0,0.21
City Ventures,2012-09-02,Display Network,nytimes.com,CTVN01_150k,City Ventures,151,1,0.20
City Ventures,2012-09-03,Display Network,nytimes.com,CTVN01_150k,City Ventures,189,0,0.25
City Ventures,2012-09-04,Display Network,nytimes.com,CTVN01_150k,City Ventures,417,1,0.56
City Ventures,2012-09-05,Display Network,nytimes.com,CTVN01_150k,City Ventures,200,1,0.28
City Ventures,2012-09-06,Display Network,nytimes.com,CTVN01_150k,City Ventures,99,0,0.14
City Ventures,2012-09-07,Display Network,nytimes.com,CTVN01_150k,City Ventures,138,0,0.19
City Ventures,2012-09-08,Display Network,nytimes.com,CTVN01_150k,City Ventures,48,0,0.06
City Ventures,2012-09-09,Display Network,nytimes.com,CTVN01_150k,City Ventures,33,0,0.04
City Ventures,2012-09-10,Display Network,nytimes.com,CTVN01_150k,City Ventures,180,0,0.25
City Ventures,2012-09-11,Display Network,nytimes.com,CTVN01_150k,City Ventures,452,0,0.64
City Ventures,2012-09-12,Display Network,nytimes.com,CTVN01_150k,City Ventures,166,0,0.24
City Ventures,2012-08-30,Display Network,usnews.com,CTVN01_150k,City Ventures,43,0,0.02
City Ventures,2012-08-31,Display Network,usnews.com,CTVN01_150k,City Ventures,196,0,0.12
City Ventures,2012-09-01,Display Network,usnews.com,CTVN01_150k,City Ventures,85,0,0.06
City Ventures,2012-09-02,Display Network,usnews.com,CTVN01_150k,City Ventures,111,0,0.06
City Ventures,2012-09-03,Display Network,usnews.com,CTVN01_150k,City Ventures,127,0,0.08
City Ventures,2012-09-04,Display Network,usnews.com,CTVN01_150k,City Ventures,206,0,0.14
City Ventures,2012-09-05,Display Network,usnews.com,CTVN01_150k,City Ventures,168,0,0.10
City Ventures,2012-09-06,Display Network,usnews.com,CTVN01_150k,City Ventures,115,0,0.08
City Ventures,2012-09-07,Display Network,usnews.com,CTVN01_150k,City Ventures,22,0,0.02
City Ventures,2012-09-08,Display Network,usnews.com,CTVN01_150k,City Ventures,36,0,0.02
City Ventures,2012-09-09,Display Network,usnews.com,CTVN01_150k,City Ventures,17,0,0.01
City Ventures,2012-09-10,Display Network,usnews.com,CTVN01_150k,City Ventures,23,0,0.02
City Ventures,2012-09-11,Display Network,usnews.com,CTVN01_150k,City Ventures,58,0,0.05
City Ventures,2012-09-12,Display Network,usnews.com,CTVN01_150k,City Ventures,850,0,0.50
City Ventures,2012-08-30,Display Network,cooks.com,CTVN01_150k,City Ventures,1,0,0.00
City Ventures,2012-08-31,Display Network,cooks.com,CTVN01_150k,City Ventures,3,0,0.00
City Ventures,2012-09-01,Display Network,cooks.com,CTVN01_150k,City Ventures,5,0,0.00
City Ventures,2012-09-02,Display Network,cooks.com,CTVN01_150k,City Ventures,5,0,0.01
City Ventures,2012-09-03,Display Network,cooks.com,CTVN01_150k,City Ventures,1,0,0.00
City Ventures,2012-09-04,Display Network,cooks.com,CTVN01_150k,City Ventures,1,0,0.00
City Ventures,2012-09-05,Display Network,cooks.com,CTVN01_150k,City Ventures,5,0,0.00
City Ventures,2012-09-06,Display Network,cooks.com,CTVN01_150k,City Ventures,2,0,0.00
